종목명	시장	접수일자	정지사유	제출인
제일엠앤에스	코	2026.09.18		코스닥시장본부
자비스	코	2026.09.18	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
옴니시스템	코	2026.09.18	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
삼영이엔씨	코	2026.09.18		코스닥시장본부
교보16호스팩	코	2026.09.18	SPAC 합병(예비심사청구대상)	코스닥시장본부
엠젠솔루션	코	2026.09.16	풍문 또는 보도 관련	코스닥시장본부
수성웹툰	코	2026.09.16	상장폐지 사유발생	코스닥시장본부
다원시스	코	2026.09.16	투자자 보호	코스닥시장본부
골드앤에스	코	2026.09.16	상장폐지 사유발생	코스닥시장본부
대림제지	코	2026.09.15	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코나아이	코	2026.09.14	무상증자	코스닥시장본부
케이엠제약	코	2026.09.14	상장폐지 사유발생	코스닥시장본부
젠큐릭스	코	2026.09.14	풍문 또는 보도 관련	코스닥시장본부
신라에스지	코	2026.09.14	상장폐지 사유발생	코스닥시장본부
나우IB	코	2026.09.14	자본감소	코스닥시장본부
루멘스바이오스	코	2026.09.11	자본감소	코스닥시장본부
키움제11호스팩	코	2026.09.10	SPAC 합병(예비심사청구대상)	코스닥시장본부
아즈텍WB	코	2026.09.10	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
루멘스바이오스	코	2026.09.10	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이씨에이치	코	2026.09.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
캠시스	코	2026.09.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
중앙첨단소재	코	2026.09.08	주식병합	코스닥시장본부
좋은사람들	코	2026.09.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
원풍물산	기	2026.09.08	상장폐지사유 발생	코스닥시장본부
시지메드텍	코	2026.09.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
이브이첨단소재	코	2026.09.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이비젼웍스	코	2026.09.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
세림B&G	코	2026.09.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
네오오토	코	2026.09.04	우회상장여부 및 요건충족확인	코스닥시장본부
마이크로디지탈	코	2026.09.03	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
제이스로보틱스	코	2026.09.02	단일판매공급계약	코스닥시장본부
베노티앤알	코	2026.09.02	자본감소	코스닥시장본부
미트박스	코	2026.09.02	무상증자	코스닥시장본부
교보15호기업인수목적	기	2026.09.02	상장폐지 사유발생	코스닥시장본부
샤페론	코	2026.09.01	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코이즈	기	2026.09.01	상장폐지 사유발생	코스닥시장본부
신영해피투모로우제10호기업인수목적	기	2026.08.31	상장폐지 사유발생	코스닥시장본부
LK삼양	코	2026.08.31	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
다산솔루에타 IR	코	2026.08.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
다산디엠씨	코	2026.08.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
유니슨	코	2026.08.27	단일판매공급계약	코스닥시장본부
랩지노믹스	코	2026.08.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한국첨단소재	코	2026.08.26	우회상장여부 및 요건충족확인	코스닥시장본부
키이스트	코	2026.08.26	단일판매공급계약	코스닥시장본부
이스트에이드	코	2026.08.25	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
유비온 IR	코	2026.08.25	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
