종목명	회사구분	접수일자	보고서명(정지유형)	제출인
프리티 IR	유	2026.09.17	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
두산	유	2026.09.17	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
해태제과식품	유	2026.09.16	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
샘표	유	2026.09.09	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
우성	유	2026.09.04	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
SK아이이테크놀로지	유	2026.08.25	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
MH에탄올	유	2026.08.25	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
에어부산	유	2026.08.21	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
진에어	유	2026.08.21	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
카카오 IR	유	2026.08.21	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
아이에스동서	유	2026.08.13	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
아이에스동서	유	2026.08.12	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
동아지질	유	2026.07.23	[기재정정] 매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동아지질	유	2026.07.23	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
신세계푸드	기	2026.07.16	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
비비안	유	2026.07.15	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
진원생명과학	유	2026.07.15	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
주성코퍼레이션	유	2026.07.09	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
남성	유	2026.07.06	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
만호제강	유	2026.07.02	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
오리엔트바이오	유	2026.06.23	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
가온전선	유	2026.06.16	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
엠앤씨솔루션	유	2026.06.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동양	유	2026.06.02	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
우양피앤엘	유	2026.05.21	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
아시아나항공	유	2026.05.13	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
방림	유	2026.05.06	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
JW중외제약	유	2026.04.30	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동양생명보험	기	2026.04.24	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
티웨이홀딩스	유	2026.04.22	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
한국수출포장공업	유	2026.04.21	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
광명전기 IR	유	2026.04.07	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
미래에셋생명	유	2026.03.26	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
케이씨 IR	유	2026.03.24	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
