
## 차트
날짜 | 클릭수 | 노출 | CTR | 게재 순위
46262.0 | 0.0 | 0.0
46263.0 | 0.0 | 2.0 | 0.0 | 3.0
46264.0 | 0.0 | 12.0 | 0.0 | 8.2
46265.0 | 1.0 | 15.0 | 0.0667 | 8.7
46266.0 | 0.0 | 31.0 | 0.0 | 8.6
46267.0 | 0.0 | 33.0 | 0.0 | 8.8
46268.0 | 0.0 | 33.0 | 0.0 | 7.4
46269.0 | 0.0 | 32.0 | 0.0 | 8.4
46270.0 | 1.0 | 22.0 | 0.0455 | 8.3
46271.0 | 1.0 | 39.0 | 0.0256 | 11.1
46272.0 | 1.0 | 66.0 | 0.0152 | 9.0
46273.0 | 1.0 | 187.0 | 0.0053 | 7.6
46274.0 | 1.0 | 251.0 | 0.004 | 7.6
46275.0 | 0.0 | 258.0 | 0.0 | 7.3
46276.0 | 0.0 | 138.0 | 0.0 | 7.8
46277.0 | 0.0 | 104.0 | 0.0 | 7.5
46278.0 | 1.0 | 262.0 | 0.0038 | 7.5
46279.0 | 0.0 | 329.0 | 0.0 | 7.1
46280.0 | 8.0 | 901.0 | 0.0089 | 4.3
46281.0 | 2.0 | 434.0 | 0.0046 | 5.7
46282.0 | 4.0 | 366.0 | 0.0109 | 5.2
46283.0 | 4.0 | 202.0 | 0.0198 | 4.4
46284.0 | 3.0 | 93.0 | 0.0323 | 4.5

## 검색어 수
인기 검색어 | 클릭수 | 노출 | CTR | 게재 순위
추석 주식휴장 | 1.0 | 19.0 | 0.0526 | 2.79
완전자본잠식 | 1.0 | 10.0 | 0.1 | 10.3
9월 28일 임시공휴일 | 1.0 | 1.0 | 1.0 | 7.0
완전자본잠식 뜻 | 0.0 | 12.0 | 0.0 | 11.67
정적vi 시간 | 0.0 | 7.0 | 0.0 | 8.29
정적 vi 시간 | 0.0 | 5.0 | 0.0 | 9.6
완전 자본잠식 뜻 | 0.0 | 4.0 | 0.0 | 11.75
주식 거래정지 사유 | 0.0 | 3.0 | 0.0 | 7.33
9월 휴장 | 0.0 | 2.0 | 0.0 | 1.0
거래정지 이유 | 0.0 | 2.0 | 0.0 | 6.0
정리매매기간 | 0.0 | 2.0 | 0.0 | 9.0
주식 거래정지 기간 | 0.0 | 2.0 | 0.0 | 9.0
