
 [['날짜', '시가', '고가', '저가', '종가', '거래량', '외국인소진율'],

	
		
["20260102", 4224.53, 4313.55, 4216.68, 4309.63, 406339, 0.0],
		
["20260105", 4385.92, 4457.52, 4381.93, 4457.52, 513870, 0.0],
		
["20260106", 4446.08, 4525.48, 4395.0, 4525.48, 498391, 0.0],
		
["20260107", 4566.34, 4611.72, 4488.2, 4551.06, 553654, 0.0],
		
["20260108", 4531.46, 4622.32, 4527.5, 4552.37, 440086, 0.0],
		
["20260109", 4530.03, 4590.03, 4500.48, 4586.32, 399220, 0.0],
		
["20260112", 4639.89, 4652.54, 4567.55, 4624.79, 394753, 0.0],
		
["20260113", 4662.44, 4693.07, 4641.58, 4692.64, 429151, 0.0],
		
["20260114", 4685.11, 4723.1, 4669.32, 4723.1, 550416, 0.0],
		
["20260115", 4710.28, 4797.55, 4705.44, 4797.55, 545175, 0.0],
		
["20260116", 4820.66, 4855.61, 4797.75, 4840.74, 720906, 0.0],
		
["20260119", 4829.4, 4917.37, 4827.95, 4904.66, 570841, 0.0],
		
["20260120", 4900.28, 4935.48, 4823.88, 4885.75, 667709, 0.0],
		
["20260121", 4808.94, 4910.54, 4807.13, 4909.93, 600101, 0.0],
		
["20260122", 4987.06, 5019.54, 4934.17, 4952.53, 568624, 0.0],
		
["20260123", 4984.08, 5021.13, 4926.22, 4990.07, 612602, 0.0],
		
["20260126", 4997.54, 5023.76, 4940.78, 4949.59, 446903, 0.0],
		
["20260127", 4932.89, 5084.85, 4890.72, 5084.85, 476156, 0.0],
		
["20260128", 5145.39, 5183.44, 5124.8, 5170.81, 593109, 0.0],
		
["20260129", 5243.42, 5252.61, 5073.12, 5221.25, 699659, 0.0],
		
["20260130", 5210.35, 5321.68, 5199.78, 5224.36, 862541, 0.0],
		
["20260202", 5122.62, 5196.71, 4933.58, 4949.67, 572544, 0.0],
		
["20260203", 5114.81, 5288.08, 5101.31, 5288.08, 672610, 0.0],
		
["20260204", 5260.71, 5376.92, 5243.11, 5371.1, 789920, 0.0],
		
["20260205", 5251.03, 5304.4, 5142.2, 5163.57, 911910, 0.0],
		
["20260206", 5013.15, 5120.77, 4899.3, 5089.14, 745764, 0.0],
		
["20260209", 5299.1, 5322.35, 5265.08, 5298.04, 617658, 0.0],
		
["20260210", 5350.21, 5363.62, 5286.67, 5301.69, 712268, 0.0],
		
["20260211", 5293.75, 5374.23, 5257.53, 5354.49, 753767, 0.0],
		
["20260212", 5425.39, 5522.27, 5399.52, 5522.27, 750615, 0.0],
		
["20260213", 5513.71, 5583.74, 5480.92, 5507.01, 1290659, 0.0],
		
["20260219", 5642.09, 5681.65, 5614.97, 5677.25, 1185838, 0.0],
		
["20260220", 5696.89, 5809.91, 5684.58, 5808.53, 1749303, 0.0],
		
["20260223", 5903.11, 5931.86, 5792.57, 5846.09, 1477789, 0.0],
		
["20260224", 5853.48, 5969.64, 5775.61, 5969.64, 1602005, 0.0],
		
["20260225", 6022.7, 6144.71, 5984.28, 6083.86, 1415255, 0.0],
		
["20260226", 6121.03, 6313.27, 6107.41, 6307.27, 1409623, 0.0],
		
["20260227", 6197.49, 6347.41, 6153.87, 6244.13, 1166058, 0.0],
		
